CVE_ENT,NOM_ENT,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL.5000,PO2SM,IM,GM,LUGAR,A.O
1,Aguascalientes,1184996,3.27,14.75,1.06,0.62,0.99,30.33,1.76,25.16,33.65,-0.91,Bajo,28,2010
2,Baja California,3155070,2.6,12.99,0.43,0.95,3.56,29.06,3.4,10.35,21.87,-1.14,Muy bajo,30,2010
3,Baja California Sur,637026,3.23,14.27,0.94,2.84,7.09,31.74,5.81,15.62,23.3,-0.68,Bajo,23,2010
4,Campeche,822441,8.37,22.54,6.42,2.59,9.74,45.97,4.5,30.88,45.51,0.43,Alto,10,2010
5,Coahuila de Zaragoza,2748391,2.65,12.17,1.09,0.54,1.39,30.27,1.42,12.15,30.04,-1.14,Muy bajo,29,2010
6,Colima,650555,5.16,18.48,0.69,0.59,1.17,31.32,4.69,14.48,32.04,-0.78,Bajo,26,2010
7,Chiapas,4796580,17.91,37.13,5.06,3.82,22.37,53.9,15.66,57.86,69.85,2.32,Muy alto,2,2010
8,Chihuahua,3406465,3.7,16.07,2.64,3.78,4.95,28.39,3.55,17.05,35.93,-0.52,Bajo,21,2010
9,Distrito Federal,8851080,2.11,8.72,0.08,0.08,1.79,26.08,1.08,0.67,28.51,-1.48,Muy bajo,32,2010
10,Durango,1632934,3.84,18.76,5.85,4.19,5.73,32.6,7.01,36.19,40.61,0.05,Medio,15,2010
11,Guanajuato,5486372,8.23,24.01,6.39,1.49,5.37,36.27,4.25,34.67,39.22,0.06,Medio,14,2010
12,Guerrero,3388768,16.82,31.6,19.58,4.38,29.79,50.18,19.61,49.68,54.94,2.53,Muy alto,1,2010
13,Hidalgo,2665018,10.3,22.67,6.03,2.5,9.1,37.68,7.22,58.71,49.29,0.66,Alto,6,2010
14,Jalisco,7350682,4.39,18.02,1.5,0.78,3.86,30.1,3.19,17.5,27.15,-0.82,Bajo,27,2010
15,México,15175862,4.41,14.29,3.18,0.79,5.67,37.93,3.94,19.1,35.34,-0.55,Bajo,22,2010
16,Michoacán de Ocampo,4351037,10.25,29.19,3.81,1.7,8.06,36.17,10.98,40.58,43.69,0.53,Alto,8,2010
17,Morelos,1777227,6.46,17.88,1.98,0.81,8.25,34.17,7.8,24.65,38.23,-0.27,Medio,19,2010
18,Nayarit,1084979,6.35,21.51,5.4,3.76,7.47,33.72,4.38,39.14,38.04,0.12,Medio,12,2010
19,Nuevo León,4653458,2.24,10.92,0.39,0.3,2.21,29.82,1.97,6.7,17.14,-1.38,Muy bajo,31,2010
20,Oaxaca,3801962,16.38,33.85,4.01,4.93,23.66,46.53,19.33,61.51,57.77,2.15,Muy alto,3,2010
21,Puebla,5779829,10.44,25.13,3.09,1.67,12.4,44.59,9.86,38.5,52.45,0.71,Alto,5,2010
22,Querétaro,1827937,6.35,16.75,6.32,2,4.93,33.1,3.83,39.07,29.96,-0.26,Medio,18,2010
23,Quintana Roo,1325578,4.86,15.58,3.06,1.97,6.18,43.14,3.95,14.36,29.24,-0.42,Medio,20,2010
24,San Luis Potosí,2585518,7.96,23.18,3.99,3.91,14.17,34.43,9.1,40.08,46.7,0.56,Alto,7,2010
25,Sinaloa,2767761,5.01,19.71,3.41,1.11,4.71,38.33,6.38,32.85,31.68,-0.26,Medio,17,2010
26,Sonora,2662480,3.06,14.4,1.68,1.57,3.08,34.77,5.41,17.39,30.66,-0.7,Bajo,24,2010
27,Tabasco,2238603,7.1,21.33,2.97,1.19,18.51,43.15,6.58,53.65,42.05,0.47,Alto,9,2010
28,Tamaulipas,3268554,3.67,15.96,0.63,1.56,2.91,35.19,3.35,13.92,33.97,-0.72,Bajo,25,2010
29,Tlaxcala,1169936,5.22,15.52,2.69,1,1.47,42.96,3.73,36.4,52.99,-0.15,Medio,16,2010
30,Veracruz de Ignacio de la Llave,7643194,11.5,28.87,2.58,2.92,19.51,39.96,12.4,46.2,50.64,1.08,Alto,4,2010
31,Yucatán,1955577,9.3,25.4,12.62,1.74,2.18,42.93,2.85,26.27,53.28,0.42,Alto,11,2010
32,Zacatecas,1490668,5.58,24.68,6.69,1.39,5.43,32.9,3.29,48.19,48.28,0.1,Medio,13,2010
